Time	Dallas1	Dallas2	Thermocouple1	Thermocouple2	Thermocouple3	Thermistor1	Thermistor2
99.486000	24.560000	24.870000	21.000000	21.500000	25.000000	501.000000	505.000000
100.457000	24.560000	24.870000	21.000000	21.500000	24.750000	501.000000	505.000000
101.426000	24.560000	24.870000	20.750000	21.500000	24.500000	501.000000	504.000000
102.409000	24.560000	24.810000	20.500000	21.250000	24.250000	500.000000	504.000000
103.374000	24.500000	24.810000	19.000000	20.250000	23.750000	500.000000	503.000000
104.341000	24.500000	24.810000	19.250000	20.750000	23.750000	500.000000	503.000000
105.324000	24.440000	24.750000	19.500000	21.000000	23.500000	500.000000	503.000000
106.292000	24.440000	24.810000	20.750000	21.750000	23.750000	500.000000	502.000000
107.217000	24.440000	24.750000	20.500000	21.750000	23.500000	500.000000	502.000000
108.443000	24.440000	24.750000	20.250000	21.750000	23.250000	500.000000	502.000000
109.365000	24.370000	24.690000	20.500000	21.750000	23.250000	500.000000	501.000000
